	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		z̪̻	ʒ̺		2/4	0.47771127548967207
periodicGlottalSource:-	f	s̪̻	ʃ̺	x	4/4	1.0
	1/2	2/2	2/2	1/2
	0.6625210710769323	1.0	1.0	0.7044347480298516
