p	t	c	k	4/4	1.0
f	s		x	3/4	0.9726207936167011
	tsʰ		kxʰ	2/4	0.9668469952693571
2/3	3/3	1/3	3/3
0.9999257045477989	1.0	0.6682741674762481	1.0
