"glottocode","series_markedness_fullness"
"aari1239",2.51570608432549
"abar1238",8.07124269692954
"abau1245",15.0695466379204
"abid1235",12.7938372566338
"abkh1244",3.04908278509325
"abua1244",1.38036195620719
"abur1243",2.61747686761897
"acat1239",7.96795686819734
"acha1249",-0.248281276156807
"acha1250",7.05464097992668
"ache1245",5.11246570326627
"ache1246",-0.020928712297549
"achi1257",2.43374171556869
"achu1247",3.36745829985671
"achu1248",3.7518513442674
"acol1236",-1.25889737059576
"adam1253",5.89290644384543
"adan1247",0.975153980974407
"adan1251",5.90941511297354
"adio1239",-3.57140713866057
"adny1235",6.09856520927421
"adyg1241",5.59254423567726
"adze1240",4.37886014872502
"afad1236",2.28284530461202
"afar1241",4.13954466377643
"afit1238",4.47677825420211
"aghe1239",8.80821589133641
"agua1253",-3.42387415157432
"ahan1243",0.0179527021651094
"ahan1244",5.63124568275123
"aheu1239",1.37050363947946
"ahte1237",4.47845137807441
"ainu1240",-3.1108777046185
"ajab1235",-0.217971910590516
"ajas1235",2.35855206055847
"ajyi1238",9.12467657443372
"akan1250",2.37386671558385
"akas1242",3.72654114303144
"akaw1239",-3.81510913831402
"akha1245",5.14198525106819
"akla1241",1.27882934923096
"akoo1248",3.45104200400142
"akpe1248",3.12190547985615
"akun1241",-4.18196993796567
"alab1237",1.54806957767703
"alab1254",0.790005607616374
"alam1246",8.73104731499561
"alaw1244",9.7364049289554
"aleu1260",7.58052537198777
"alla1248",0.188283135826929
"alut1245",4.75205721507069
"alya1239",11.0376097053081
"amah1246",-1.47619292402488
"aman1265",0.694562088343798
"amar1271",1.40951344135778
"amar1274",9.20678811422402
"amas1236",6.46782144800298
"ambe1247",7.66471156921119
"ambu1247",2.54596887509677
"amdo1237",4.85189505431619
"amel1241",7.20681821322504
"amha1245",7.72121937949241
"amii1238",0.287725925019049
"amoo1242",11.7276765983716
"amun1246",6.13786843098536
"ande1247",6.07267668458577
"andi1255",7.56976812218523
"anei1239",-1.93341327887252
"anfi1235",2.57029581950221
"anga1288",5.94357545852287
"anga1290",11.9350589356319
"anii1245",4.67948477153014
"anin1240",3.59677139653232
"anta1253",-0.962968251586638
"anua1242",2.05826847834674
"anuf1239",-0.947941658241116
"anyi1244",1.00969576861339
"anyi1245",3.81958282046653
"aona1235",4.29329288905971
"apal1257",8.64830080971261
