"","series_markedness_fullness"
"hela1238",5.10413698454577
"here1253",8.26247070481394
"hili1240",1.49939059656804
"hind1269",5.73323694311032
"hixk1239",6.77737053831443
"hmon1264",5.98125183007966
"hoav1238",1.65180250818561
"holo1240",8.7018356706066
"hooo1248",3.68622123369615
"hopi1249",5.71540039164201
"huaa1248",3.49979784365944
"hual1241",4.97083621767128
"huam1247",8.1643071268411
"huam1248",4.73028100005195
"huar1255",5.82690125471251
"huas1242",3.51564248005472
"huay1240",4.76741549015861
"huba1236",3.7670886954521
"hueh1236",6.26080477916209
"huic1243",5.46249697997102
"huml1238",5.26013543873534
"hung1274",1.14136852242036
"hung1278",7.63658780889059
"hunz1247",4.78644574647727
"hupa1239",5.58121966597578
"hupd1244",5.5826675596119
"iaai1238",1.29762513689796
"iban1261",2.50467297483242
"iban1264",1.45942503471193
"ibib1240",9.36565513543468
"icel1247",5.72228711811152
"idaa1241",1.16631931954784
"idom1241",7.96291036973427
"ifee1241",5.87930253497461
"iged1239",8.32702346344333
"igna1246",5.82548879637974
"igoo1238",8.06884894906977
"ikkk1242",6.06727204738742
"ikpe1245",6.55878478308646
"ikwe1242",7.35289450439013
"ilok1237",2.08141790447985
"imba1240",5.02265115735493
"imon1245",8.21741158420337
"inap1243",5.71676090559482
"indo1316",1.838771984139
"indo1317",1.48626785349532
"inga1252",4.90639560806939
"ingu1240",4.2696059140657
"inor1238",3.15727734308369
"iqui1243",4.13798768501739
"iraq1241",4.44346292038488
"irar1238",1.93029293168767
"irig1241",7.17003229119948
"iris1253",4.65470567853133
"irul1243",4.12205920674681
"ishk1246",7.57455289818719
"isok1239",8.36330404966979
"isth1244",5.2145661614407
"ital1282",6.77935643491082
"itel1242",5.47299935550436
"iumi1238",5.86332898397972
"ivat1242",1.77070970938919
"iwai1244",6.69989813028792
"iwam1256",7.0105749883588
"iyiv1238",6.89503847125629
"iyow1239",4.13177912976327
"izer1241",7.25811579124162
"izon1238",3.29337512627828
"jahh1242",4.91469450205491
"jama1261",7.27589524542613
"jams1239",5.67141423674618
"japh1234",3.46746649318136
"japr1238",6.61725486589363
"jaqa1244",4.5077097670016
"jaru1254",9.19247220531546
"jauj1238",4.83160705563036
"jaun1243",4.87568800092754
"java1254",1.95293665104778
"jebe1250",5.42616892988482
"jeme1245",6.5598409456969
"jenn1240",3.9647651024927
"jere1244",8.52936981526771
"jica1244",4.97014362875779
