"","series_markedness_fullness"
"aari1239",2.68668638863739
"abar1238",4.36129218184085
"abau1245",1.63321587539686
"abid1235",3.5999122684854
"abkh1244",4.71988398497032
"abua1244",3.29912472445277
"abur1243",3.72996932403818
"acat1239",1.66564537958813
"acha1249",1.09798017191479
"acha1250",1.78227359570998
"ache1245",6.47905790124949
"ache1246",1.57223913499473
"achi1257",2.27214795647033
"achu1247",2.13397893853497
"achu1248",2.04112220449098
"acol1236",3.94536086436399
"adam1253",3.43445161210888
"adan1247",3.80424490433165
"adan1251",2.82329619023905
"adio1239",3.84257133348335
"adny1235",2.73962209735544
"adyg1241",3.88234009585352
"adze1240",2.47835831442508
"afad1236",1.71564553429543
"afar1241",2.06908839110585
"afit1238",3.69442935495629
"aghe1239",4.24152693730139
"agua1253",2.11531420559179
"ahan1243",3.95578368147498
"ahan1244",3.9515661465363
"aheu1239",1.68990619729508
"ahte1237",1.54585386866472
"ainu1240",3.21623822610417
"ajab1235",4.10998550287833
"ajas1235",2.1846603903494
"ajyi1238",1.97540157235913
"akan1250",4.00691238418437
"akas1242",2.67349374609917
"akaw1239",1.68930928689952
"akha1245",1.13061379384126
"akla1241",1.69974260127756
"akoo1248",3.29501467381322
"akpe1248",3.91528772046647
"akun1241",1.92109308178732
"alab1237",2.92291537571094
"alab1254",2.05541226751905
"alam1246",2.18292469049208
"alaw1244",2.87426549865839
"aleu1260",2.2073466053287
"alla1248",4.10889402154665
"alut1245",2.21987706639533
"alya1239",2.54746722348649
"amah1246",2.89235563279775
"aman1265",2.33016464135219
"amar1271",2.40420743118892
"amar1274",2.60975426266132
"amas1236",4.04530236327183
"ambe1247",4.14185851061902
"ambu1247",1.18409763747959
"amdo1237",1.28036741349606
"amel1241",2.23278289950751
"amha1245",2.57056633016444
"amii1238",2.33126195070281
"amoo1242",3.36537406368449
"amun1246",1.91414938019101
"ande1247",2.23180659118118
"andi1255",3.44000234237191
"anei1239",2.1714838786269
"anfi1235",3.9154304137994
"anga1288",1.02438781591748
"anga1290",1.97124729073843
"anii1245",3.79017259571029
"anin1240",1.75790506997537
"anta1253",2.19801365641018
"anua1242",3.90043624161685
"anuf1239",3.9025395421722
"anyi1244",3.86698339586102
"anyi1245",3.94290623573618
"aona1235",1.14705895702566
"apal1257",1.50782448493894
"apat1240",1.07821035767259
"apin1244",1.55093755549746
"apro1235",3.8463991852699
"apur1254",1.77402012818633
"arab1268",2.45565232099523
"arag1245",2.58211595562602
"aran1237",1.85430872140442
"arao1248",2.39445146628219
"araw1273",1.5777007931745
"araw1276",2.14478392399624
"arbe1236",2.587364604631
"arbo1245",2.25430178348294
"arch1244",4.17565825256874
"argo1244",2.34026217558267
"arhu1242",1.68089355795201
"arik1265",1.48011603362318
"arin1244",5.80998162835393
"asha1243",2.08182723514766
"ashe1272",1.81361083606704
"assa1263",2.82830975587943
"astu1245",2.77655136198605
"atay1247",2.38471137974071
"atti1239",3.60255882223727
"auuu1241",1.39837438579486
"avac1239",1.82056093074643
"avar1256",4.15231476011958
"avat1244",3.75931987496376
"avik1243",4.00075571497592
"avok1242",5.68903743667464
"awac1239",1.31686437603582
"awad1243",3.16278841443146
"awar1248",2.96271665396099
"awet1244",2.07006136684633
"awin1248",4.29664961393761
"awiy1238",2.5830446004732
"awng1244",2.59119363375072
"awtu1239",1.70358179796415
"axiy1235",1.52707884368962
"ayac1239",2.41408653099383
"ayer1245",3.78735351896988
"ayor1240",1.97470317100932
"baan1242",3.4973315749321
"baat1238",2.91516677558828
"baba1264",4.2905720351421
"baba1266",4.22632855773331
"bada1257",1.52105533251055
"bade1248",1.82878416154264
"bady1239",3.54312316518918
"bafa1247",3.1391737900115
"bafa1249",4.41051458371299
"bafi1243",3.80799189840989
"bafu1246",4.28632719085267
"baga1272",3.32288458788498
"baga1273",3.40101978942034
"bagi1246",5.1160315308491
"baim1244",1.34573513218509
"baka1272",3.23592958491607
"baka1273",3.31546279831991
"baka1274",5.66001545692973
"baka1277",1.26481144998147
"bakh1245",2.05051805288511
"bako1249",4.45033021688254
"bako1250",4.05713920936059
"bala1302",3.53816627376294
"bali1278",1.95434006875279
"balt1258",1.47280875487909
"bamb1262",1.92495973434438
"bamb1265",4.13275630471965
"bamb1269",3.85338550286784
"bame1260",4.22253747961957
"bamu1253",4.24422714622816
"bamu1256",4.28522781917551
"bana1305",2.11164553814278
"band1345",2.91602103477764
"band1352",3.76278191973274
"bang1356",4.17792638219084
"bani1255",1.90819950272404
"bank1256",4.3086182134137
"baou1238",3.83380430042224
"bara1380",2.45789278087344
"bard1255",2.14205788272391
"bare1276",1.8731599365498
"bare1279",1.37701134867128
"bari1286",2.29583141403455
"bari1297",1.62096300034039
"baru1269",2.64649446551878
"basa1284",4.49197175689547
"bash1264",3.1815567242253
"bass1260",3.12654330288483
"bata1285",3.90893534986466
"bata1289",2.19739073432248
"bata1293",2.20291356759295
"bats1242",3.52616837606108
"baur1253",2.18386210792134
"bayu1240",1.98130558696263
"beem1239",3.28046009113398
"befa1241",4.29266695846473
"begb1241",4.52494980490102
"beja1238",2.23618938713966
"bekw1241",3.56160869027772
"bela1255",2.98918382378913
"bela1256",4.12817483288327
"bela1260",1.95491900957601
"belh1239",1.82865051086315
"bell1243",2.10906479907688
"bemb1257",3.76914821006862
"bena1262",4.0397259753136
"benc1235",3.319578980254
"beng1280",2.72425358842164
"beng1286",3.21489115969102
"bero1242",4.16946806769392
"besi1244",1.32734896069434
"bett1235",1.60522466909838
"bhel1238",3.62594744879937
"bhil1251",3.10075678218331
"bhoj1244",2.64337197289553
"biak1248",2.47638592329864
"bial1238",2.8486243181326
"bidy1243",2.19475874033041
"bidy1244",3.62925681459128
"bila1255",3.82413971636581
"bili1260",2.2571445756018
"bimo1239",2.87378432861235
"bina1277",2.76316756207313
"bini1246",3.75305362177533
"binu1245",2.43816807820559
"biss1248",3.32169346457953
"blan1242",2.02530684560461
"bodo1267",1.49212760088776
"bodo1269",1.0483568598907
"boik1241",1.76782337607784
"boko1266",3.02402276417879
"bomi1238",3.95375812104113
"bona1250",1.56469692415827
"bond1245",1.48037414438318
"bong1285",6.22402226393487
"bora1263",1.52552255844915
"bora1271",1.78818290089421
"bord1248",1.88916263676267
"boro1277",3.77911051007305
"boro1282",1.79249507785576
"boun1243",3.62149010692132
"bouy1240",1.87381906174532
"brah1256",1.02828206807919
"bret1244",3.43592195621794
"brib1243",1.60610059012313
"brok1247",3.01822423867375
"buam1238",2.85017486180262
"budu1250",3.44683897619301
"bugi1244",2.85447660056763
"bujh1238",1.32176901365427
"buku1249",3.4847359937075
"bulg1262",2.4343487243054
"buli1254",2.97904423979312
"bulu1251",4.09755237073218
"bumb1241",1.94974953888847
"bumm1238",4.20253458860969
"buna1275",2.07961454329833
"bund1253",2.93514708141468
"buol1237",2.5731069734662
"bura1267",1.48904320622644
"burj1242",2.22983791356183
"buru1301",4.03466303309406
"busa1253",3.08725621503168
"buwa1243",2.14555762081899
"cabi1241",1.95077403997895
"cacu1241",2.51845657373136
"cadd1256",2.47509567303564
"caja1238",2.35852738790279
"came1252",3.83477733886787
"camp1261",3.11480322363395
"cane1242",2.03198647418951
