	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		ʁ	1/2	0.3309738075346587
periodicGlottalSource:-	s		1/2	0.7614118360496821
	1/2	1/2
	0.7903072196662834	0.29522793278914716
