	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ	tʼ	kʼ	qʼ	5/5	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b		d			2/5	0.583224774497092
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	t	k	q	5/5	1.0
	3/3	2/3	3/3	2/3	2/3
	1.0	0.667472068024331	1.0	0.6968970516944704	0.8781096831786427
