	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-,+;high:+;low:-;back:-;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:+;front:0 | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-,+;high:-;low:-;back:+;retractedTongueRoot:-;distributed:+;front:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive		-	t̪ʼ|tʼ	-	kʼ	2/3	0.7710451783343276
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive	b	-	d̪|d		ɡ	3/4	0.999780810185303
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive		-	t̪|t	-	k	2/3	0.735748548191778
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative			s̪ʼ|sʼ		ʃʼ	2/5	0.783661346486781
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative		ɮ̪|ɮ	z̪|z	ʕ	ʒ	4/5	0.8025674844202432
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ̪|ɬ	s̪|s	ħ	ʃ	5/5	1.0
	2/6	2/3	6/6	2/4	6/6
	0.41713797744991327	0.9338765496165493	1.0	0.9755217602772794	1.0
