	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		t̪ʼ|tʼ	kʼ	2/3	0.684727702509148
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-		t̪|t	k	2/3	0.5962828142820412
	1/3	3/3	3/3
	0.34852410285827906	1.0	1.0
