	labial:+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+			s̪ʼ|sʼ	ʃʼ		2/5	0.6666571332805068
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-		ɮ̪|ɮ	z̪|z	ʒ	ʕ	4/5	0.6322367045824404
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	f	ɬ̪|ɬ	s̪|s	ʃ	ħ	5/5	1.0
	1/3	2/3	3/3	3/3	2/3
	0.652895743819103	0.9338765496165493	1.0	1.0	0.988988033236322
