		ɡ		1/4	0.3325525168498839
p	t	k	kʷ	4/4	1.0
ɸ	s			2/4	0.8482942022438186
2/3	2/3	2/3	1/3
0.703248463825531	0.8429406464033786	0.8666930494111134	0.6311478029109631
