	labial:+;coronal:-;dorsal:- | labial:+;coronal:-;dorsal:-,+;front:-;round:- | labial:+;coronal:-;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+ | labial:-;coronal:+;dorsal:+;anterior:+;distributed:+;strident:+;front:+ | labial:-;coronal:+;dorsal:+;anterior:-;distributed:+;strident:-;front:+ | labial:-;coronal:+;dorsal:-,+;anterior:-;distributed:+;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p		k	2/3	0.6252299814463977
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		1/3	0.6193909625846312
	1/2	1/2	1/2
	0.6992274671292704	0.5063976847568902	0.7463088967653868
