	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	b	d	bʲ	ɡ	ɡʲ	5/5	1.0
periodicGlottalSource:-	p	t	pʲ	k		4/5	0.9549716050217358
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.4414718975984564
