p	t	ʈ	k	4/4	1.0
b	d	ɖ	ɡ	4/4	1.0
mb			ŋɡ	2/4	0.6644014834382818
3/3	2/3	2/3	3/3
1.0	0.9751154196779577	0.9935559374458952	1.0
