	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ʕ	4/4	1.0
periodicGlottalSource:-	f	s	ʃ		3/4	0.9854713508863413
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.2766393025149453
