p	t	c	k	4/4	1.0
pʰ	tʰ	cʰ	kʰ	4/4	1.0
f	s			2/4	0.802392085064903
3/3	3/3	2/3	2/3
1.0	1.0	0.8652304739961368	0.8670174232035107
