	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	t		k	3/4	0.8225209260560821
periodicGlottalSource:+;category:fricative	β			ɣ	2/4	0.5179806591948745
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate	mb	nd	d̠ʒ	ŋɡ	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s		1/4	0.517245883185746
	3/4	2/4	2/4	3/4
	0.8505385399226555	0.9024938219897998	0.5040882797781466	0.8741872554799034
