	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive		d			1/4	0.2957324284438657
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
	1/2	2/2	1/2	1/2
	0.6469725515864904	1.0	0.7808446589574541	0.7154313868640699
