	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ		3/4	0.9783005123977417
periodicGlottalSource:-; ͉:+	p͉	t͉	k͉	k͉ʷ	4/4	1.0
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.8208278419782055
