	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ			ɡ	4/6	0.9718895131521839
periodicGlottalSource:+;category:fricative		z	ʒ	ʐ		ʁ	4/6	0.7109260915832829
periodicGlottalSource:-; ͉:+;category:affricate|plosive	p͉	t͉	t̠ʃ͉		k͉ʷ	k͉	5/6	0.9828432766267091
periodicGlottalSource:-; ͉:+;category:fricative | periodicGlottalSource:-; ͉:-;category:fricative | periodicGlottalSource:+,-; ͉:-;sonorant:+,-;nasal:+,-;category:fricative	f	s͉	ʃ͉	ʂ͉		x	5/6	0.9603717232177382
	3/4	4/4	4/4	2/4	1/4	4/4
	0.9234498183701254	1.0	1.0	0.5384176086182924	0.6010308178334016	1.0
