	labiodental:0;lateral:-,+;strident:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-		ts	1/2	0.960392050303077
constrictedGlottis:+;raisedLarynxEjective:+ | constrictedGlottis:-,+;raisedLarynxEjective:-,+	t̪ɬ̪ʼ|tɬʼ	tsʼ	2/2	1.0
	1/2	2/2
	0.4038906022719529	1.0
