	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t̪	ts		c	kʷ	q	qʷ	7/8	0.9984503777247822
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ɬ̪|ɬ	ç	xʷ	χ	χʷ	6/8	0.7635360091009055
constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ	t̪ʼ	tsʼ	t̪ɬ̪ʼ|tɬʼ	cʼ	kʷʼ	qʼ	qʷʼ	8/8	1.0
	2/3	2/3	3/3	2/3	3/3	3/3	3/3	3/3
	0.8414029722061576	0.8814506427315421	1.0	0.6901155731572356	1.0	1.0	1.0	1.0
