	labial:+;coronal:-;anterior:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;anterior:-;dorsal:+;high:+;front:+;back:-;round:0	labial:-,+;coronal:-;anterior:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;anterior:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;coronal:-;anterior:0;dorsal:+;high:-;front:-;back:+;round:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	c	kʷ	q	qʷ	6/6	1.0
constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ	cʼ	kʷʼ	qʼ	qʷʼ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
