	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		ɟʝ	1/2	0.05850937236969791
periodicGlottalSource:-	ts		1/2	0.9669316530149648
	1/2	1/2
	0.7922038181111707	0.3227883151117193
