	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dz	ɟʝ	2/2	1.0
periodicGlottalSource:+;spreadGlottis:+		ɟ̤ʝ	1/2	0.06341613008185316
periodicGlottalSource:-;spreadGlottis:-	ts	cç	2/2	1.0
	2/3	3/3
	0.9899899563501732	1.0
