	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d			2/4	0.6550737145558363
periodicGlottalSource:-	p	t	c	k	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.5397368573575658	0.7407770089337997
