	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-,+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-,+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:0,-,+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-,-,+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive		-	-	dʼ	-	kʼ		2/4	0.7139301193621348
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive	b	-	-	d			ɡʲ	3/5	0.7355899788517365
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive		-	-	tʰ	-	kʰ		2/4	0.6686576594248544
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative		ɮʼ	sʼ	ðʼ				3/7	0.6234995874561662
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative			z	ð	ʕ	ʁ		4/7	0.5490327571285689
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ	s	θ	ħ	χ	ʃ	7/7	1.0
	2/6	2/3	3/3	6/6	2/4	4/6	2/6
	0.6535011193816116	0.9048884957099267	1.0	1.0	0.9755217602772794	0.6459420574637655	0.7378680727136694
