	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+		dʼ	kʼ		2/4	0.719685693372321
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b	d		ɡʲ	3/4	0.743234437590134
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-		tʰ	kʰ		2/4	0.6750204362391581
	1/3	3/3	2/3	1/3
	0.6537068046394442	1.0	0.4980857032327999	0.6824524247039216
