							kx	1/8	0.13443992666266344
b			d		d̠ʒ	ɡ		4/8	0.8544971389400656
	-	-		ntsʼ	n̠t̠ʃʼ		-	2/5	0.5000000000000006
	f	ɬ		s				3/8	0.30300773546671217
β	v	ɮ		z	ʒ		ɣ	6/8	0.5227025827966297
-	ɱv	nɮ	-	nz				3/6	0.06784628692833172
-	ɱf	nɬ	-	ns				3/6	0.019621810141485747
pʰ			tʰ	tsʰ	t̠ʃʰ	kʰ		5/8	0.9859437254475791
pʼ			tʼ	tsʼ	t̠ʃʼ	kʼ		5/8	0.9497114732197174
mb		-	nd		n̠d̠ʒ	ŋɡ		4/7	0.9499640364655276
mp		-	nt			ŋk	ŋkx	4/7	0.8023996630089
6/9	4/10	4/8	5/9	7/11	6/11	5/11	3/10
0.533422245105088	0.9935152162867624	0.6388129177078157	0.44926760298084456	0.7584461622292548	0.41637198106471823	0.328884318160969	0.5473601836250418
