	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0 | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-		kx	1/2	0.7361363659786503
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-		d̠ʒ	1/2	0.8100490256595845
periodicGlottalSource:+,-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;sonorant:+,-;nasal:+,-	ntsʼ	n̠t̠ʃʼ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-	tsʰ	t̠ʃʰ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;sonorant:-;nasal:-	tsʼ	t̠ʃʼ	2/2	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-		n̠d̠ʒ	1/2	0.5267891841101856
periodicGlottalSource:+,-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-		ŋkx	1/2	0.3672644518745347
	3/7	7/7
	0.37206421136411927	1.0
