	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	d		1/2	0.5056902477869514
periodicGlottalSource:-	t	k	2/2	1.0
	2/2	1/2
	1.0	0.7131090135848781
