	labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;round:0;lateral:-	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0 | labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;round:0;front:+ | labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;round:0;front:+ | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;round:0;high:+;low:-;front:+;back:- | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	d		1/2	0.485170802200598
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	t	k	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	s	ʃ	2/2	1.0
	3/3	2/3
	1.0	0.7949783585422254
