	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d̪	d	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-		t̪	t		k	3/5	0.6924014157810676
	1/2	2/2	2/2	1/2	2/2
	0.35307331597901326	1.0	1.0	0.46026314264243406	1.0
