	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	d	ɟ			3/5	0.7146220641672434
periodicGlottalSource:-	p	t	c	k	kʷ	5/5	1.0
	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	0.7407770089337997	0.8240255992155922
