β	v	vʷ	z	zʷ	ɣʷ	ɣ	7/7	1.0
	f	fʷ	s	sʷ		ʃ	5/7	0.9370063601360578
1/2	2/2	2/2	2/2	2/2	1/2	2/2
0.5610997274490522	1.0	1.0	1.0	1.0	0.15047474742721886	1.0
