	labial:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0;strident:+	labial:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	d̠ʒ		1/2	0.9900750281476458
periodicGlottalSource:-	ts	t̠ʃʷ	2/2	1.0
	2/2	1/2
	1.0	0.7555455284658218
