	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z	ʑ	3/3	1.0
periodicGlottalSource:-	f	s	ɕ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
