	labiodental:0;strident:+;distributed:+;dorsal:-;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	d̪z̪	dʑ	2/2	1.0
periodicGlottalSource:-	t̪s̪	tɕ	2/2	1.0
	2/2	2/2
	1.0	1.0
