	labial:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	z	ʒ	zʷ	ʒʷ	4/4	1.0
periodicGlottalSource:-	s	ʃ	sʷ	ʃʷ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
