p	pʷ	t	tʷ	tʲ	kp	k		kʷ	8/9	0.9578751271078407
b	bʷ	d		dʲ	ɡb	ɡ	ɡʲ	ɡʷ	8/9	0.9984656564889676
mb	mbʷ	nd			ŋmɡb	ŋɡ	ŋɡʲ	ŋɡʷ	7/9	0.9843869997412011
3/3	3/3	3/3	1/3	2/3	3/3	3/3	2/3	3/3
1.0	1.0	1.0	0.7950847387202324	0.9339250272373447	1.0	1.0	0.4485535543747125	1.0
