	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	d̠ʒ	ɖʐ	ɟ	ɡ		7/8	0.9835988035354989
periodicGlottalSource:+;category:fricative	v		z	ʒ	ʐ	ʝ			5/8	0.7113648987062
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	ʈʂ	c	k	q	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	ʂ	ç	x	χ	7/8	0.8974273404488528
	4/4	2/4	4/4	4/4	4/4	4/4	3/4	2/4
	1.0	0.9036894656578184	1.0	1.0	1.0	1.0	0.9591979237445315	0.8105108689925634
