	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		z	ɣ	2/3	0.7595375219644864
periodicGlottalSource:-	f	s	ʃ	3/3	1.0
	1/2	2/2	2/2
	0.6625210710769323	1.0	1.0
