	labial:-;labiodental:0;coronal:-;lateral:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	ɡ	1/1	1.0
periodicGlottalSource:-	k	1/1	1.0
	2/2
	1.0
