variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu,3.623896567525,3.63105265,0.37904580790514364,0.37255076732999987,3.000006315,4.226385414999999,1.002424813591362,1006.4552508007129,1585.2783841919659
sigma,0.6260213449475,0.6262789550000001,0.014076252175886237,0.013710484346999995,0.6026238474999999,0.6492091585,1.0008462877630313,88.43229268577123,331.1309632215233
t_half,26.01379762575,25.608905999999998,3.5613429885280414,3.3794443704000017,20.990130899999997,32.38425994999999,1.0019292150199526,554.7020782787296,1584.5701235251552
tau,0.14702327609075,0.14063778999999998,0.030962891854157754,0.030097699212000027,0.1039850755,0.203262438,1.0121030793214383,27.708585561131102,73.89635564332177
