variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu,2.858463328,2.88044,0.5518526446771916,0.5259004589999998,1.9173580000000001,3.7155625,1.0194157083660425,138.367986228447,182.28202952731652
sigma,0.1685904595,0.168532,0.0035956912986710335,0.0033929300999999776,0.16251485,0.17459234999999998,1.052502137870918,41.72016000951496,112.57820409666671
t_half,98.777408475,95.77975,19.311996296951516,17.270955659999995,73.18628,134.57945,1.0611487491358385,41.83627440861037,210.28475067033577
tau,0.0452781065,0.045877249999999994,0.009393040699131812,0.00974802087000001,0.027776725,0.059703095,1.117838843846019,11.206620802713031,11.448471960471803
