variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu,3.97254684765,3.9717750499999998,0.05364259406043594,0.053295096329999805,3.885279265,4.061775754999999,1.0007443040961832,1043.764668959895,1587.748234642729
sigma,2.876754240975,2.92818235,0.336072097806612,0.23851223717999986,2.286473935,3.2974055849999995,1.2574836497779485,6.134782165812666,21.124827633630332
t_half,0.60486659385,0.59014027,0.10746252465133067,0.07678900603499997,0.476381197,0.7687309169999998,1.104282881005543,17.102378504489742,24.599488766752973
tau,0.603785886805,0.537061895,0.2451798087744258,0.19072544463,0.303690931,1.0892989249999998,1.62652591814677,3.3937756631462275,22.18111977588641
