variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu,3.908769565,3.90824,0.07647788935438007,0.07619081399999973,3.7846905000000004,4.037282,1.0014963556451046,1163.3282101415705,1380.304913196752
sigma,1.174609775,1.17419,0.03975028305245212,0.039014618999999966,1.1086680000000002,1.2408535,1.0717299601955999,20.85592525503458,96.25209704904069
t_half,2.4129749825,2.4034,0.19255783188513723,0.1906697730000001,2.1163564999999998,2.7497999999999996,1.0176671820894538,290.26823509970666,1498.681446561001
tau,0.22367433545,0.22708299999999998,0.06937016843654711,0.07495506689999998,0.11393669999999999,0.3369947,1.27393326988413,5.575770235202246,12.0041848657272
