	d	d̠ʒ	ɡ	3/4	0.7275360156565941
ɓ		-		1/3	0.40662334864933586
v	z	ʒ		3/4	0.7554035777741186
p	t	t̠ʃ	k	4/4	1.0
f	s	ʃ		3/4	0.801866792995265
4/5	4/5	4/4	2/5
0.7509599328076818	0.9853462663363086	1.0	0.813686642648233
