	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪	ɖ	ɟʝ	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative	v	z				2/5	0.7476539897819655
periodicGlottalSource:-;category:affricate|plosive	p	t̪	ʈ	cç	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s		ç		2/5	0.6299908384961617
	3/4	4/4	2/4	3/4	2/4
	0.851958288975904	1.0	0.9500227250121117	0.9574665357434847	0.8208175339725856
