	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b			ɟ	2/4	0.6522728659129203
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ		ʄ	3/4	0.9751857134501587
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t̪	ʈ	k	4/4	1.0
	3/3	2/3	1/3	3/3
	1.0	0.7046945053160262	0.8174519143642547	1.0
