	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:-;strident:-;lateral:-;distributed:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	ɖ			2/4	0.659754387367544
periodicGlottalSource:-;spreadGlottis:-		t	kp	k	3/4	0.75751246879714
periodicGlottalSource:-;spreadGlottis:+	pʰ				1/4	0.26129514639903506
	2/3	2/3	1/3	1/3
	0.4556547232547866	0.9019815610590323	0.46895011706086165	0.5973729913246332
