	labial:-;high:0;low:0;front:0;back:0	labial:-,+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	d̠ʒ		1/2	0.9848419428457278
periodicGlottalSource:-	t̠ʃ	t̠ʃʷ	2/2	1.0
	2/2	1/2
	1.0	0.7944300430821256
