	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:-;coronal:+;dorsal:-,+;front:+;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	pʷ	t	tʷ	tʲ	k	kʲ	kʷ	8/8	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b		d			ɡ		ɡʷ	4/8	0.9122293260876082
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb		nd			ŋɡ			3/8	0.9019620904773821
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	mp		nt		-	ŋk		ŋkʷ	4/7	0.9304875431264543
	4/4	1/4	4/4	1/4	1/3	4/4	1/4	3/4
	1.0	0.48620475107406913	1.0	0.793795519747466	0.646099549244264	1.0	0.5427403403669121	0.9854195830582768
