	labiodental:0;dorsal:-;round:0	labiodental:0;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	d̠ʒ		1/2	0.9093914110222067
periodicGlottalSource:-	t̠ʃ	t̠ʃʲ	2/2	1.0
	2/2	1/2
	1.0	0.7856231596065144
