	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β				1/4	0.2700345348985572
periodicGlottalSource:-	ɸ	s̪|s	ʃ	x	4/4	1.0
	2/2	1/2	1/2	1/2
	1.0	0.7982510323809631	0.7723823163067765	0.7044347480298516
