	labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z̪		ʐ	ɣ	3/4	0.8093990334030452
periodicGlottalSource:-	s̪	ʃ	ʂ	x	4/4	1.0
	2/2	1/2	2/2	2/2
	1.0	0.7783204924998441	1.0	1.0
