	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+			ʐ	ʁ	2/4	0.40304719871796324
periodicGlottalSource:-	s	ʃ	ʂ	x	4/4	1.0
	1/2	1/2	2/2	2/2
	0.7941949965540165	0.7783204924998441	1.0	1.0
