	labiodental:0;strident:+;distributed:+;dorsal:-;round:0; ̻:+	labiodental:0;strident:+;distributed:+;dorsal:-;round:0; ̻:-	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0; ̻:-	count	markedness_count
periodicGlottalSource:+	d̻z̻	d̪z̪	dʑ	3/3	1.0
periodicGlottalSource:-	t̻s̻	t̪s̪	tɕ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
