	labial:+;coronal:-;dorsal:-;front:0; ̻:-	labial:-;coronal:+;dorsal:-;front:0; ̻:+	labial:-;coronal:+;dorsal:-;front:0; ̻:-	labial:-;coronal:+;dorsal:+;front:+; ̻:-	labial:-;coronal:-;dorsal:+;front:-; ̻:-	count	markedness_count
periodicGlottalSource:+	v	z̻	z̪	ʑ		4/5	0.7904454600392649
periodicGlottalSource:-	f	s̻	s̪	ɕ	x	5/5	1.0
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.6984718085432419
