	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;coronal:+;lateral:-;strident:-,-,+;anterior:+;distributed:-,-,+;dorsal:-,-,+;high:+;front:+;back:- | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p		t	ts	t̠ʃ	k	q	tɕ	7/8	0.9901970068229957
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b		d	dz	d̠ʒ	ɡ		dʑ	6/8	0.9817369014597196
periodicGlottalSource:+;category:fricative				z	ʒ	ɣ		ʑ	4/8	0.5668667829381421
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:affricate	pʰ		tʰ	tsʰ	t̠ʃʰ	kʰ	qʰ	tɕʰ	7/8	0.9910046921690479
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	-	nd	ndz	n̠d̠ʒ			ndʑ	5/7	0.6825441149002288
periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-,-;spreadGlottis:-,-,+;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+,-,-;spreadGlottis:-,-,+;sonorant:+,-,-;nasal:+,-,-;category:affricate	mpʰ	-	ntʰ	ntsʰ	n̠t̠ʃʰ			ntɕʰ	5/7	0.6781469819719819
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ		s	ʃ	x		ɕ	5/8	0.6986035737376582
	5/7	1/5	5/7	7/7	7/7	5/7	2/7	7/7
	0.7738075510322764	0.5780544601446944	0.9385463726550511	1.0	1.0	0.9752466297919121	0.5481985620061335	1.0
