	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+		z	ʒ	ʑ	ɣ	4/5	0.9775301076249833
periodicGlottalSource:-	ɬ	s	ʃ	ɕ	x	5/5	1.0
	1/2	2/2	2/2	2/2	2/2
	0.9048884957099266	1.0	1.0	1.0	1.0
