	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-		t	k	2/3	0.7363696962143519
	2/3	3/3	3/3
	0.4217690621891461	1.0	1.0
