	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b		dʲ	ɡ	3/4	0.6533366393558563
periodicGlottalSource:-	p	t	tʲ	k	4/4	1.0
	2/2	1/2	2/2	2/2
	1.0	0.6982137273139257	1.0	1.0
