	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	dz		1/2	0.39789616158306607
periodicGlottalSource:-	ts	t̠ʃ	2/2	1.0
	2/2	1/2
	1.0	0.7574715057915199
